股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
VVOS,US,"Vivos Therapeutics, Inc. - Common Stock",Medical Devices,通用,ROE、现金流、资产负债率,-,2.09,-629.2%,1969.4%,-16030750.00,106.2%,34.1%,-,未分红/不适用,2.9%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；资产负债率过高；商誉占比偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VVR,US,Invesco Senior Income Trust Common Stock (DE),Asset Management,通用,ROE、现金流、资产负债率,33.22,0.80,6.3%,4.6%,-,39.5%,-,-,未分红/不适用,-5.4%,4,0,80,Medium,低,警惕,70,排除,30,数据质量中等，质量评级需降置信度；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,长期ROE偏低但PE不低；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VVV,US,Valvoline Inc. Common Stock,Auto & Truck Dealerships,通用,ROE、现金流、资产负债率,43.19,11.70,253.3%,298.6%,2400000.00,87.3%,24.6%,-,未分红/不适用,11.4%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；资产负债率过高；商誉占比偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VVX,US,"V2X, Inc. Common Stock",Aerospace & Defense,通用,ROE、现金流、资产负债率,24.78,1.99,1.7%,4.4%,164134000.00,66.9%,51.1%,2.23,未分红/不适用,15.7%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%；商誉占比过高；利息覆盖倍数偏低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VWAV,US,"VisionWave Holdings, Inc. - Common Stock",Aerospace & Defense,通用,ROE、现金流、资产负债率,-,30.22,55.5%,-,-,538.0%,-,-109.37,未分红/不适用,-,1,3,20,Low,低,数据不足,0,数据不足,0,数据不足，不能进行质量评级,资产负债率过高；利息覆盖倍数过低；数据年数不足，无法进行可靠筛选,,,,,,,未评估,暂无AI独立评估
VYGR,US,"Voyager Therapeutics, Inc. - Common Stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,1.13,-26.3%,59.8%,-23557750.00,22.3%,-,-,未分红/不适用,-0.4%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VYNE,US,VYNE Therapeutics Inc. - Common Stock,Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,0.80,-69.6%,26.7%,-34089000.00,7.9%,-,-,未分红/不适用,6.1%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VYX,US,NCR Voyix Corporation Common Stock,Information Technology Services,科技,营收增长、自由现金流、研发投入效率,23.79,0.97,-13.5%,92.7%,-89250000.00,70.5%,38.8%,0.48,未分红/不适用,-5.4%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；科技公司自由现金流为负；PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；商誉占比偏高；利息覆盖倍数过低；近5年营收增长偏弱；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VZ,US,Verizon Communications Inc. Common Stock,Telecom Services,通用,ROE、现金流、资产负债率,11.31,1.87,17.5%,4.4%,15477750000.00,73.8%,5.7%,4.39,未分红/不适用,0.3%,4,6,80,Medium,中,警惕,70,可跟踪,87,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率高于行业舒适区；营收增长处于可接受区间,资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
VZLA,US,Vizsla Silver Corp. Common Shares,Other Industrial Metals & Mining,周期,利润波动、ROE波动、资本开支周期,-,3.53,-5.9%,3.2%,-35587108.75,1.5%,-,-,未分红/不适用,-,4,0,80,Medium,低,排除,5,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
W,US,Wayfair Inc. Class A Common Stock,Internet Retail,科技,营收增长、自由现金流、研发投入效率,-,-2.73,27.1%,17.9%,-180500000.00,180.9%,-,-1.55,未分红/不适用,0.6%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；资产负债率过高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WAB,US,Westinghouse Air Brake Technologies Corporation Common Stock,Railroads,通用,ROE、现金流、资产负债率,37.38,4.04,8.8%,2.1%,1257500000.00,49.3%,46.3%,8.08,未分红/不适用,10.1%,4,6,80,Medium,低,排除,60,排除,20,规则排雷已判定存在硬伤,商誉占比过高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WABC,US,Westamerica Bancorporation - Common Stock,Banks - Regional,银行,不良率、拨备覆盖、资本充足率,11.98,1.44,17.3%,4.0%,132354250.00,84.3%,2.0%,-,未分红/不适用,-0.9%,4,6,80,Medium,中,需专项分析,55,需专项分析,45,行业需要专项资产质量或资本约束分析,银行需补充不良率/拨备/资本充足率专项数据；资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WAFD,US,"WaFd, Inc. - Common Stock",Banks - Regional,银行,不良率、拨备覆盖、资本充足率,11.25,0.96,8.8%,2.0%,269591500.00,88.6%,1.6%,-,未分红/不适用,3.1%,4,6,80,Medium,中,排除,30,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WAFU,US,Wah Fu Education Group Limited - Ordinary Shares,Education & Training Services,通用,ROE、现金流、资产负债率,-,0.72,2.4%,5.8%,194161.00,23.8%,-,-,未分红/不适用,-18.6%,4,0,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WAI,US,Top KingWin Ltd - Class A Ordinary Shares,Capital Markets,金融,杠杆、资产质量、资本约束,-,0.02,-45.1%,23.9%,-10980135.25,9.0%,-,-,未分红/不适用,37.1%,4,6,80,Medium,高,排除,0,排除,20,规则排雷已判定存在硬伤,金融行业需专项资产质量与资本约束分析；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；高杠杆行业，需资产负债表专项分析；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WAL,US,Western Alliance Bancorporation Common Stock (DE),Banks - Regional,银行,不良率、拨备覆盖、资本充足率,8.66,1.09,14.0%,3.8%,-989400000.00,91.4%,0.6%,-,未分红/不适用,11.8%,4,6,80,Medium,中,排除,15,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；近5年自由现金流多次为负；资产负债率过高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WALD,US,Waldencast plc - Class A Ordinary Share,Household & Personal Products,消费,ROE、毛利率稳定性、分红稳定性,-,0.38,-23.5%,23.1%,-14473500.00,33.0%,23.8%,-9.45,未分红/不适用,24.1%,3,6,60,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,消费公司长期ROE不够突出；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；商誉占比偏高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WASH,US,"Washington Trust Bancorp, Inc. - Common Stock",Banks - Regional,银行,不良率、拨备覆盖、资本充足率,11.28,1.08,7.5%,9.2%,65803500.00,91.8%,1.0%,-,未分红/不适用,0.5%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；10年净利润波动较大；长期ROE偏低但PE不低；资产负债率过高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WAT,US,Waters Corporation Common Stock,Diagnostics & Research,通用,ROE、现金流、资产负债率,41.83,7.65,64.0%,52.4%,507458500.00,49.5%,26.4%,11.85,未分红/不适用,2.1%,4,6,80,Medium,低,警惕,70,优质候选,89,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,10年ROE波动较大；商誉占比偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WATT,US,Energous Corporation - Common Stock,Communication Equipment,通用,ROE、现金流、资产负债率,-,4.32,339.1%,913.6%,-18358935.25,25.3%,-,-,未分红/不适用,87.7%,4,6,80,Medium,低,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WAY,US,Waystar Holding Corp. - Common Stock,Health Information Services,通用,ROE、现金流、资产负债率,26.76,0.89,-0.7%,2.5%,135209000.00,33.0%,69.4%,3.22,未分红/不适用,16.0%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；商誉占比过高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WBD,US,"Warner Bros. Discovery, Inc. - Series A Common Stock",Entertainment,通用,ROE、现金流、资产负债率,-,1.86,-13.4%,15.0%,4248250000.00,62.9%,25.9%,1.79,未分红/不适用,3.3%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；商誉占比偏高；利息覆盖倍数偏低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WBI,US,WaterBridge Infrastructure LLC Class A Shares Representing Limited Liability Company Interests,Oil & Gas Equipment & Services,周期,利润波动、ROE波动、资本开支周期,438.86,2.21,1.2%,1.1%,-101477333.33,50.1%,1.4%,0.98,未分红/不适用,61.8%,2,3,40,Low,中,数据不足,0,数据不足,0,数据不足，不能进行质量评级,长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；资产负债率相对偏高；数据年数不足，无法进行可靠筛选,,,,,,,未评估,暂无AI独立评估
WBS,US,Webster Financial Corporation Common Stock,Banks - Regional,银行,不良率、拨备覆盖、资本充足率,11.67,1.25,9.2%,1.2%,1155640500.00,88.7%,3.4%,-,未分红/不适用,5.3%,4,6,80,Medium,中,排除,30,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WBTN,US,WEBTOON Entertainment Inc. - Common stock,Internet Content & Information,科技,营收增长、自由现金流、研发投入效率,-,1.35,-14.5%,10.0%,-42823750.00,23.0%,21.1%,-6952.73,未分红/不适用,8.6%,4,0,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；10年内亏损年份过多；长期ROE低于5%；近5年自由现金流多次为负；商誉占比偏高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WBUY,US,WEBUY GLOBAL LTD. - Class A Ordinary Shares,Internet Retail,科技,营收增长、自由现金流、研发投入效率,-,2.73,-45.4%,205.3%,-6374072.50,79.7%,-,-8.40,未分红/不适用,-25.0%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；资产负债率偏高；利息覆盖倍数过低；近5年营收明显下滑；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WBX,US,Wallbox N.V. Class A Ordinary Shares,Electronic Components,科技,营收增长、自由现金流、研发投入效率,-,-1.31,-5.2%,233.0%,-99261500.00,113.1%,4.5%,-4.78,未分红/不适用,0.2%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；资产负债率过高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WCC,US,"WESCO International, Inc. Common Stock",Industrial Distribution,通用,ROE、现金流、资产负债率,25.51,3.47,15.4%,2.8%,336050000.00,69.5%,20.3%,3.21,未分红/不适用,3.2%,4,6,80,Medium,中,警惕,70,优质候选,100,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,商誉占比偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WCN,US,"Waste Connections, Inc. Common Shares",Waste Management,通用,ROE、现金流、资产负债率,38.20,4.86,10.6%,2.3%,1173818500.00,61.0%,39.7%,5.24,未分红/不适用,9.5%,4,6,80,Medium,低,警惕,85,优质候选,95,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,商誉占比偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WCT,US,Wellchange Holdings Company Limited - Class A Ordinary shares,Software - Application,科技,营收增长、自由现金流、研发投入效率,-,0.17,178.4%,270.7%,-687224.00,26.6%,-,-27.33,未分红/不适用,50.9%,4,0,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WD,US,"Walker & Dunlop, Inc Common Stock",Mortgage Finance,通用,ROE、现金流、资产负债率,25.30,0.98,7.1%,4.0%,245076500.00,65.5%,17.2%,-,未分红/不适用,-0.7%,4,6,80,Medium,高,需专项分析,55,需专项分析,45,行业需要专项资产质量或资本约束分析,长期ROE偏低但PE不低；高杠杆行业，需资产负债表专项分析；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WDAY,US,"Workday, Inc. - Class A Common Stock",Software - Application,科技,营收增长、自由现金流、研发投入效率,48.27,4.15,6.3%,9.8%,2041250000.00,56.8%,28.9%,9.85,未分红/不适用,15.4%,4,6,80,Medium,低,警惕,55,可跟踪,69,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；科技/成长公司有亏损记录，需看亏损是否收窄；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年净利润波动较大；长期ROE偏低但PE不低；商誉占比偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WDC,US,Western Digital Corporation - Common Stock,Computer Hardware,科技,营收增长、自由现金流、研发投入效率,28.81,23.05,6.2%,21.5%,6750000.00,60.4%,30.8%,4.17,未分红/不适用,-20.3%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；10年ROE波动较大；10年净利润波动较大；长期ROE偏低但PE不低；商誉占比偏高；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WDFC,US,WD-40 Company - Common Stock,Specialty Chemicals,周期,利润波动、ROE波动、资本开支周期,34.25,10.08,32.8%,2.5%,64261500.00,43.6%,20.4%,30.53,未分红/不适用,6.1%,4,6,80,Medium,低,警惕,85,优质候选,100,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,商誉占比偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WDI,US,Western Asset Diversified Income Fund Common Shares of Beneficial Interest,Asset Management,通用,ROE、现金流、资产负债率,9.73,-,2.6%,17.7%,-,34.0%,-,-,未分红/不适用,-,4,6,80,Medium,低,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WEA,US,Western Asset Bond Fund Share of Beneficial Interest,Asset Management,通用,ROE、现金流、资产负债率,8.94,0.91,0.9%,14.4%,-,32.8%,-,-,未分红/不适用,-,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WEAV,US,"Weave Communications, Inc. Common Stock",Health Information Services,通用,ROE、现金流、资产负债率,-,5.02,-43.9%,11.1%,3465500.00,60.4%,14.2%,-16.04,未分红/不适用,18.9%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；长期ROE低于5%；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WEC,US,"WEC Energy Group, Inc. Common Stock",Utilities - Regulated Electric,周期,利润波动、ROE波动、资本开支周期,21.88,2.61,11.9%,0.5%,-79175000.00,72.7%,5.9%,2.87,未分红/不适用,0.7%,4,6,80,Medium,中,警惕,55,可跟踪,79,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流质量不足；资产负债率略高但未构成硬伤；营收增长处于可接受区间,资产负债率偏高；利息覆盖倍数偏低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WELL,US,Welltower Inc. Common Stock,REIT - Healthcare Facilities,地产,净负债率、现金短债比、资产负债率,103.26,3.53,1.8%,1.0%,1973890750.00,35.8%,-,0.26,未分红/不适用,22.7%,4,6,80,Medium,低,排除,5,排除,20,规则排雷已判定存在硬伤,地产需补充净负债率/现金短债比专项数据；长期ROE低于5%；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WEN,US,Wendy's Company (The) - Common Stock,Restaurants,通用,ROE、现金流、资产负债率,10.42,13.00,79.9%,43.4%,234572500.00,97.6%,15.6%,2.80,未分红/不适用,1.3%,4,6,80,Medium,中,排除,15,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；资产负债率过高；利息覆盖倍数偏低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WERN,US,"Werner Enterprises, Inc. - Common Stock",Trucking,通用,ROE、现金流、资产负债率,-,1.64,6.3%,7.7%,-83889750.00,51.8%,4.5%,0.47,未分红/不适用,-3.3%,4,6,80,Medium,低,排除,30,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；近5年自由现金流多次为负；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WES,US,"Western Midstream Partners, LP Common Units Representing Limited Partner Interests",Oil & Gas Midstream,周期,利润波动、ROE波动、资本开支周期,15.14,4.68,-,-,1232699250.00,72.2%,2.4%,4.23,未分红/不适用,5.7%,4,6,80,Medium,未知,警惕,85,谨慎观察,59,数据质量中等，质量评级需降置信度；长期ROE缺失；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,资产负债率偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WEST,US,Westrock Coffee Company - Common Stock,Packaged Foods,消费,ROE、毛利率稳定性、分红稳定性,-,-444.74,-20.8%,10.0%,-157483250.00,76.9%,9.9%,-0.74,未分红/不适用,11.1%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,消费公司长期ROE不够突出；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；长期ROE低于5%；近5年自由现金流多次为负；资产负债率偏高；利息覆盖倍数过低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WETH,US,Wetouch Technology Inc. - Common Stock,Electronic Components,科技,营收增长、自由现金流、研发投入效率,2.50,0.13,7.5%,3.6%,6109118.00,2.3%,-,-,未分红/不适用,6.0%,4,6,80,Medium,低,通过,85,优质候选,89,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WETO,US,Wetour Robotics Limited - Ordinary Shares,Software - Infrastructure,科技,营收增长、自由现金流、研发投入效率,-,1.48,55.9%,171.5%,-4344294.50,-,-,-,未分红/不适用,62.8%,4,6,80,Medium,未知,排除,15,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WEX,US,WEX Inc. common stock,Software - Infrastructure,科技,营收增长、自由现金流、研发投入效率,15.91,3.93,18.1%,5.7%,473150000.00,91.4%,20.9%,2.75,未分红/不适用,4.2%,4,6,80,Medium,中,排除,15,排除,20,规则排雷已判定存在硬伤,资产负债率过高；商誉占比偏高；利息覆盖倍数偏低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WEYS,US,"Weyco Group, Inc. - Common Stock",Footwear & Accessories,通用,ROE、现金流、资产负债率,14.04,1.37,11.9%,1.6%,33730500.00,25.1%,3.9%,16017.00,未分红/不适用,-7.7%,4,6,80,Medium,低,警惕,85,谨慎观察,59,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WFC,US,Wells Fargo & Company Common Stock,Banks - Diversified,银行,不良率、拨备覆盖、资本充足率,11.35,1.38,10.2%,1.8%,-,91.5%,1.2%,-,未分红/不适用,4.0%,4,6,80,Medium,中,排除,30,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WFCF,US,"Where Food Comes From, Inc. - Common Stock",Specialty Business Services,消费,ROE、毛利率稳定性、分红稳定性,29.77,5.02,18.4%,2.6%,2271000.00,27.9%,22.8%,744.00,未分红/不适用,0.1%,4,6,80,Medium,低,警惕,85,优质候选,93,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,商誉占比偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WFF,US,WF Holding Limited - Ordinary Shares,Specialty Industrial Machinery,通用,ROE、现金流、资产负债率,-,5.30,-8.0%,63.9%,-431584.00,58.3%,-,-277.92,未分红/不适用,14.2%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WFG,US,West Fraser Timber Co. Ltd Common stock,Lumber & Wood Production,通用,ROE、现金流、资产负债率,-,0.82,1.9%,17.5%,409250000.00,23.2%,19.3%,-60.63,未分红/不适用,-17.4%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；利息覆盖倍数过低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WFRD,US,Weatherford International plc - Ordinary shares,Oil & Gas Equipment & Services,周期,利润波动、ROE波动、资本开支周期,17.03,4.45,28.7%,17.9%,445750000.00,67.4%,-,5.04,未分红/不适用,4.3%,4,6,80,Medium,中,警惕,55,优质候选,100,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,周期行业ROE波动显著；10年ROE波动较大；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WGO,US,"Winnebago Industries, Inc. Common Stock",Recreational Vehicles,通用,ROE、现金流、资产负债率,19.61,0.66,12.5%,14.0%,178075000.00,43.2%,22.5%,2.16,未分红/不适用,-17.4%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；商誉占比偏高；利息覆盖倍数偏低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
WGRX,US,"Wellgistics Health, Inc. - Common Stock",Pharmaceutical Retailers,消费,ROE、毛利率稳定性、分红稳定性,-,-0.68,13268.6%,25999.1%,-6669418.00,140.9%,46.6%,-21.11,未分红/不适用,-10.7%,4,0,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率过高；商誉占比过高；利息覆盖倍数过低；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
